Time_s,Velocity_mps,Acceleration_mps2
0,0,0
0.1,0,0
0.2,0,0
0.3,0,0
0.4,0,0
0.499999999999996,0,0
0.5,0,1.9
0.500000000000007,1.35003119794419e-14,1.9
0.600000000000007,0.18764466858416,1.85308883285396
0.700000000000007,0.370656373793563,1.80733590655161
0.800000000000007,0.549149503901514,1.76271262402462
0.900000000000007,0.723235622924773,1.71919109426881
1.00000000000001,0.893023540354714,1.67674411491132
1.10000000000001,1.05861937916679,1.6353451552083
1.20000000000001,1.22012664215087,1.59496833946228
1.30000000000001,1.37764627660383,1.55558843084904
1.40000000000001,1.53127673742488,1.51718081564378
1.50000000000001,1.68111404865314,1.47972148783671
1.60000000000001,1.82725186348576,1.44318703412856
1.70000000000001,1.96978152281417,1.40755461929646
1.80000000000001,2.10879211231521,1.3728019719212
1.90000000000001,2.24437051813248,1.33890737046688
1.99999999999999,2.37660148118306,1.30584962970424
2.00000000000001,2.37660148118308,0.805849629704231
2.10000000000001,2.45618747418019,0.785953131454954
2.20000000000001,2.53380848200889,0.766547879497778
2.30000000000001,2.60951302032586,0.747621744918535
2.40000000000001,2.68334840693193,0.729162898267017
2.50000000000001,2.75536079134729,0.711159802163179
2.60000000000001,2.82559518365638,0.693601204085906
2.70000000000001,2.89409548264073,0.676476129339818
2.80000000000001,2.96090450321707,0.659773874195732
2.90000000000001,3.02606400319809,0.643483999200477
3.00000000000001,3.0896147093924,0.627596322651901
3.10000000000001,3.1515963430601,0.612100914234974
3.20000000000001,3.21204764473993,0.596988088815017
3.30000000000001,3.27100639846329,0.582248400384178
3.40000000000001,3.32850945537052,0.56787263615737
3.50000000000001,3.38459275674408,0.553851810813981
3.60000000000001,3.43929135647298,0.540177160881755
3.70000000000001,3.49263944296266,0.526840139259336
3.80000000000001,3.54467036050378,0.513832409874054
3.90000000000001,3.59541663011358,0.501145842471605
4.00000000000001,3.64490996986248,0.48877250753438
4.10000000000001,3.69318131469897,0.476704671325258
4.20000000000001,3.74026083578494,0.464934791053765
4.30000000000001,3.78617795935364,0.453455510161591
4.40000000000001,3.83096138510202,0.442259653724496
4.50000000000001,3.874639104129,0.431340223967749
4.60000000000001,3.91723841643081,0.420690395892296
4.70000000000001,3.95878594796436,0.410303513008909
4.80000000000001,3.99930766728935,0.400173083177663
4.90000000000001,4.03882890179944,0.390292774550141
5,4.07737435355272,0.380656411611819
