scenario,verificationTime_s,expectedVelocity_mps,measuredVelocity_mps,velocityError_mps,expectedAcceleration_mps2,measuredAcceleration_mps2,accelerationError_mps2,status
M0_Nominal,2.5,2.99036698618399,2.99036698617746,6.52633502795652e-12,1.152408253454,1.15240825345564,1.63158375698913e-12,true
M1_Payload,2.5,2.1543620396392,2.15436203963853,6.67910171614494e-13,0.9076063267268,0.907606326726911,1.11244347067441e-13,true
M2_PreLoad,1.5,1.68111404865732,1.68111404865313,4.18953760572549e-12,1.47972148783567,1.47972148783672,1.0476064460363e-12,true
M2_PostLoad,3,3.08961470939848,3.08961470939239,6.09379213756256e-12,0.627596322650379,0.627596322651903,1.52367007899556e-12,true
