Time_s,Velocity_mps,Acceleration_mps2
0,0,0
0.1,0,0
0.2,0,0
0.3,0,0
0.4,0,0
0.499999999999996,0,0
0.5,0,1.9
0.500000000000007,1.35003119794419e-14,1.9
0.600000000000007,0.18764466858416,1.85308883285396
0.700000000000007,0.370656373793563,1.80733590655161
0.800000000000007,0.549149503901514,1.76271262402462
0.900000000000007,0.723235622924773,1.71919109426881
1.00000000000001,0.893023540354714,1.67674411491132
1.10000000000001,1.05861937916679,1.6353451552083
1.20000000000001,1.22012664215087,1.59496833946228
1.30000000000001,1.37764627660383,1.55558843084904
1.40000000000001,1.53127673742488,1.51718081564378
1.50000000000001,1.68111404865314,1.47972148783671
1.60000000000001,1.82725186348576,1.44318703412856
1.70000000000001,1.96978152281417,1.40755461929646
1.80000000000001,2.10879211231521,1.3728019719212
1.90000000000001,2.24437051813248,1.33890737046688
1.99999999999999,2.37660148118306,1.30584962970424
2.00000000000001,2.37660148118308,1.30584962970423
2.10000000000001,2.50556765012338,1.27360808746915
2.20000000000001,2.63134963300719,1.2421625917482
2.30000000000001,2.75402604766836,1.21149348808291
2.40000000000001,2.8736735708595,1.18158160728513
2.50000000000001,2.99036698617747,1.15240825345563
2.60000000000001,3.10417923080553,1.12395519229862
2.70000000000001,3.21518144110148,1.09620463972463
2.80000000000001,3.32344299706018,1.06913925073495
2.90000000000001,3.42903156567832,1.04274210858042
3.00000000000001,3.53201314324848,1.01699671418788
3.10000000000001,3.63245209660898,0.991886975847754
3.20000000000001,3.73041120337524,0.96739719915619
3.30000000000001,3.82595169117782,0.943512077205546
3.40000000000001,3.9191332759317,0.920216681017076
3.50000000000001,4.01001419916067,0.897496450209832
3.60000000000001,4.09865126440018,0.875337183899954
3.70000000000001,4.18509987270139,0.853725031824653
3.80000000000001,4.26941405725861,0.832646485685347
3.90000000000001,4.35164651718187,0.812088370704534
4.00000000000001,4.43184865043549,0.792037837391127
4.10000000000001,4.51007058596358,0.772482353509105
4.20000000000001,4.58636121502217,0.753409696244458
4.30000000000001,4.66076822173789,0.734807944565527
4.40000000000001,4.7333381129121,0.716665471771975
4.50000000000001,4.80411624708913,0.698970938227718
4.60000000000001,4.87314686290686,0.681713284273285
4.70000000000001,4.94047310674732,0.664881723313171
4.80000000000001,5.00613705970456,0.648465735073861
4.90000000000001,5.07017976388672,0.63245505902832
5,5.13264124806868,0.616839687982829
